STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,DPNP,DPNT,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,DSNW,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193512,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,148,40,41,-8,273,127,200
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193601,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,439,280,40,-15,263,91,177
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,170,170,44,-11,252,42,147
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193603,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,473,8,67,-5,492,291,392
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,349,17,77,23,510,336,423
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,334,0,86,26,714,469,592
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193606,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90,0,89,39,795,543,669
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193607,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,253,0,97,43,824,571,698
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,463,0,94,44,807,561,684
COOP:431580,CORNWALL VT US,153.6,43.966667,-73.2,193609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,271,0,85,31,724,499,612
